10000 2 
13.1133181617437 8.95209054197654 1
11.9648101237564 9.50245366634095 1
14.0190140099663 10.5015189611763 1
11.7805163336829 9.88776117524967 1
11.3560615752334 10.029484460565 1
10.8713139029101 11.1922460533316 1
10.6377657831679 9.5941144659306 1
12.1571893505851 8.54987350721588 1
11.8835800055175 8.00814198762036 1
10.7565439191472 9.92819012372726 1
12.7428514930035 9.23404651581661 1
10.7142086343061 10.3825687403319 1
11.4260376676253 10.4741918091557 1
11.9043870231375 10.4953152718282 1
10.938107198953 9.67936943722683 1
13.2182410261026 10.6496111261627 1
12.2597804779194 9.35657398198928 1
12.7990233662456 8.77289949554918 1
12.36661202935 8.3382399943297 1
13.0513476475057 10.2336538942514 1
10.6524988274598 10.2944280291003 1
12.3799570067393 8.31001064352444 1
13.5990268152779 8.6841106115833 1
11.7984495617191 11.463429487533 1
11.4259518935269 10.4087950553705 1
11.770470888714 10.4664904486429 1
11.6219354322255 8.86528532660945 1
12.8573544059175 11.5298795201578 1
11.3082157972425 8.76001289234009 1
13.4465004459933 8.74761576306516 1
13.0048230851833 8.84992781186028 1
11.868759579972 8.36840721164521 1
12.8352479336973 11.108091374335 1
13.0038686847776 9.75181256561411 1
13.7849345125508 9.08147163988776 1
13.9987479071336 10.1129188587265 1
10.5158229207024 9.84517009011312 1
11.4768466494236 8.76495609048338 1
11.6427589749682 8.53211517287179 1
11.5099207395418 9.24072418645288 1
13.0782380657368 8.63241885096574 1
10.5719893101657 9.49354621770811 1
12.3624320279457 10.194013695341 1
12.595609885045 9.1472109884611 1
12.3582202270779 10.6422176301627 1
14.0363880187008 9.83254890707647 1
10.675122762679 11.2359402390473 1
12.327636960088 8.0450324130529 1
10.4572588433637 9.5356889073393 1
13.9574785015391 9.08414322749293 1
13.5116662387609 10.4185710912198 1
11.9199687762167 11.1866229945107 1
12.1035262576731 9.44246967429017 1
11.329174554895 9.4444036372856 1
10.423162768444 10.181934874932 1
11.9932263970008 8.62053767795348 1
